,_id,Timestamp,Name,Email,profession,interest,collaboration,Topic,Skills,password,Experience
16,652f66faa519e85866e524f8,10/15/2023 14:45:16,Shriya Sinha,shriya.sinha2021@vitstudent.ac.in,Student,"Projects, Research","Student, Faculty, Researcher","Electronics, robotics ","IoT, PCB designing, Arduino programming , basic linux",,4.0
17,652f66faa519e85866e524f9,10/15/2023 16:31:59,Ashish Singh,workashishsinghwork@gmail.com,Student,"Projects, Study Groups","Student, Faculty",Cybersecurity and cloud computing,Skilled in both,,2.0
18,652f66faa519e85866e524fa,10/15/2023 16:50:43,Pratik,pratikmahajan8104@gmail.com,Student,"Projects, Study Groups",Student,ML,Cloud computing,,5.0
19,652f66faa519e85866e524fb,10/15/2023 17:06:53,Manit Srivastava,manit1837@gmail.com,Student,"Projects, Study Groups",Student,Anything,"Verbal, marketing ",,2.0
20,652f66faa519e85866e524fc,10/15/2023 17:07:49,Mukul Singh,mukulz2020@gmail.com,Student,Study Groups,Student,Game,C++,,2.0
21,652f66faa519e85866e524fd,10/15/2023 17:08:48,Vishal R,Vishalramesh500@gmail.com,Student,"Research, Study Groups",Faculty,Cricket,Law,,1.0
22,652f66faa519e85866e524fe,10/15/2023 17:11:13,Mohit baroliya,mohit.roxx42@gmail.com,Student,"Projects, Research","Student, Researcher","Artificial intelligence, machine learning ","Artificial intelligence, research. And the basics as a computer science student",,5.0
23,652f66faa519e85866e524ff,10/15/2023 17:12:06,Sakshi Prasad,sakshiprasad0211@gmail.com,Student,Projects,"Student, Faculty",Web development,"Front end dev
basic ui ux design
basic back end knowledge ",,4.0
24,652f66faa519e85866e52500,10/15/2023 17:15:49,Burhanuddin,burhanuddin1402003@gmail.com,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher",Strategic Management,"Accountancy
FM
SM",,3.0
25,652f66faa519e85866e52501,10/15/2023 17:22:06,Anshu Satija,anshusatija.20cse@cambridge.edu.in,Student,"Research, Study Groups","Student, Faculty, Researcher",Artificial Intelligence,Android Developer,,4.0
26,652f66faa519e85866e52502,10/15/2023 17:24:54,T Vishal,thiagarajanvishal@gmail.com,Student,"Projects, Research","Student, Faculty, Researcher","Hybrid engines , anything related to mechatronics engineering ","Design, problem solving, extensive research ",,2.0
27,652f66faa519e85866e52503,10/15/2023 17:25:09,Sneha T,tsneharajan@gmail.com,Student,"Projects, Research","Student, Faculty, Researcher",Finance and technology.,"Accounting, finance, commerce and basic computer applications.",,0.0
28,652f66faa519e85866e52504,10/15/2023 17:25:20,Mithravinda,mithravinda.nambiar2021@vitstudent.ac.in,Student,Projects,Faculty,ar/vr,"fullstack development, PLC programming, arduino",,3.0
29,652f66faa519e85866e52505,10/15/2023 17:26:44,Himanshu Srivastava,himanshu20032002@gmail.com,Student,"Projects, Study Groups",Student,"AIML, DevOps, MLOps, Web Dev","Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL
AIML: ML, DL, CNN, RNN, LSTM
Programming: Java, C++, Python",,0.0
30,652f66faa519e85866e52506,10/15/2023 17:58:28,OB,ob@gmail.com,Student,Research,Researcher,CS,Data Analysis,,2.0
31,652f66faa519e85866e52507,10/15/2023 18:11:20,Srihari Unnikrishnan,srihari.unnikrishnan@gmail.com,Student,Study Groups,"Student, Faculty, Researcher","NLP, finance, staristical mathematics ","NLP, Risk Analysis, LLMs ",,1.0
32,652f66faa519e85866e52508,10/15/2023 18:21:25,Yogeshwaran,YogeshwaraN.tp@gmail.com,Student,Study Groups,Student,Ai,Machine Learning,,2.0
33,652f66faa519e85866e52509,10/15/2023 19:25:34,Srinidhi Arunkumar,srinidhi.arunkumar2021@vitsudent.ac.in,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher","AWS , UI/UX DESIGN","C, C++, Python, Java, HTML, CSS, SQL, AWS, Figma , FlutterFlow, Canva, Adobe XD.",,3.0
34,652f66faa519e85866e5250a,10/15/2023 19:26:53,Akshaya Suresh,akshaya.suresh2021@vitstudent.ac.in,Student,Projects,"Student, Faculty",Cyber security - Ethical hacking,"Cyber security,  coding - python ",,3.0
35,652f66faa519e85866e5250b,10/15/2023 19:28:42,Akshaya Suresh,akshaya.suresh2021@vitstudent.ac.in,Student,Projects,"Student, Faculty",Cyber security,"Cyber security,  coding - python",,5.0
36,652f66faa519e85866e5250c,10/15/2023 19:30:20,Sivaranjini,sivaranjinichandramouli@gmail.com,Student,"Projects, Study Groups","Student, Faculty","Anything about computer science, exploring rn","Programming, Web development, App development, Data science, Testing ",,1.0
37,652f66faa519e85866e5250d,10/15/2023 19:45:21,Divyansha Thakur,divyansha9riya@gmail.com,Student,Projects,"Student, Researcher",law,"Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail.",,3.0
38,652f66faa519e85866e5250e,10/15/2023 21:08:45,Dhruv,Dhruvgoel669@gmail.com,Student,"Projects, Research, Study Groups","Student, Researcher","AI , genetics ",I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across,,3.0
39,652f66faa519e85866e5250f,10/15/2023 21:15:04,Varsha,varsha.kalyan1010@gmail.com,Student,"Research, Study Groups","Student, Faculty",Social Work and Community Engagement/Development,"An awareness and basic knowledge of social issues such as poverty, homelessness, and addiction as well as in-depth study and knowledge of human behaviour and group behaviour. 

Skill sets: Empathy and listening skills and basic data collection and analysis/interpretation skills. ",,3.0
40,652f66faa519e85866e52510,10/15/2023 21:47:34,Shehzana,shehzana1020@gmail.com,Student,Research,Researcher,behavioural economics,i am a ty ba economics student,,1.0
41,652f66faa519e85866e52511,10/15/2023 22:40:12,Arushi Bansal,210041001@iitb.ac.in,Student,"Projects, Research, Study Groups",Researcher,Finance or aero or data science or coding,No idea what but know like the basics of everything,,2.0
42,652f66faa519e85866e52512,10/15/2023 23:04:13,Siddarth Sowmyanarayan,arjunkowshik2@gmail.com,Student,Research,Researcher,Proteomic analysis and bioassay testing for Biopharma,"Drug development, bioinformatics with R programming, molecular biology research methodologies, cell culture, upstream and downstream process technologies",,2.0
43,652f66faa519e85866e52513,10/16/2023 5:01:30,Guru Prasad Kumar,guruprasad1994@outlook.com,Faculty,"Projects, Research","Faculty, Researcher",Data Science (Sports Analytics),"Python, SQL, Tableau, Data Analytics ",,16.0
44,652f66faa519e85866e52514,10/16/2023 6:53:21,Adharsh,Natarajan.adharsh@gmail.com,Student,Projects,Faculty,Functional safety,"Digital design
Formal verification",,3.0
45,652f66faa519e85866e52515,10/16/2023 6:59:44,Nakul,nakulnshettikeri@gmail.com,Student,Projects,Student,Digital system design,"Tanner Tools, Vivado, MATLAB, python,etc",,2.0
46,652f66faa519e85866e52516,10/16/2023 8:26:25,Chirag,chirag18703@gmail.com,Student,Projects,Student,Rizz,Nada,,1.0
47,652f66faa519e85866e52517,10/16/2023 9:06:59,Shiban Banerjee,shiban.banerjee@gmail.com,Faculty,"Projects, Research","Student, Researcher","ML, Generative AI","Business Domains - Education, Utilities (water, electricity), Retail, Car Manufacturing.. 
Technical Domains - Systems Design, AWS/Azure, Web/Mobile Development, Backend Development (API/Microservices/Databases), AI, Quantum Computing
Programming Skillset - C#, Python, react js, no code tools like bubble.io, MySQL/postgres/Mongo DB",,24.0
48,652f66faa519e85866e52518,10/16/2023 10:58:17,Kanishka Verma,Kanishkaverma2003@gmail.com,Student,Projects,Student,AI/ML,"python, machine learning
",,2.0
49,652f66faa519e85866e52519,10/16/2023 11:02:44,kannu,k@gmail.com,Student,Research,Faculty,Robotics,"Web development
Bioinformatics tools
Marketing strategies
Game design",,2.0
50,652f66faa519e85866e5251a,10/16/2023 11:12:15,Navneet Singh Negi,navneetsingh.negi2021@vitstudent.ac.in,Student,"Projects, Research","Student, Faculty, Researcher",Full Stack Development,"MERN Stack, Spring boot, Java",,2.0
51,652f66faa519e85866e5251b,10/16/2023 14:05:59,Sheetal Sharma,Sheetalsharma1163@gmail.com,Student,"Projects, Research, Study Groups","Student, Faculty, Researcher",Preferably medical related,I am smart 😎,,3.0
52,652f66faa519e85866e5251c,10/16/2023 14:44:50,Raahul C,raahul.c2021@vitstudent.ac.in,Student,Projects,Student,Robotics,RPA,,3.0
53,652f66faa519e85866e5251d,10/16/2023 19:36:04,Avikshith Subudhi,avi.subudhi@gmail.com,Student,"Projects, Research, Study Groups","Student, Researcher",Machine learning,"Python programming , data analysis ",,1.0
54,652f7c3a81928f436b3ac13a,,harish,harish.thangaraj03@outlook.com,Student,projects,student,data science,"AI,ML,DL",,2.0
55,652f7ebb81928f436b3ac13b,,donkey,donkey123@gmail.com,Student,neigh,cow,cross breed,expert in that,,2.0
56,652f852281928f436b3ac13c,,casarulez,harishthangu@gmail.com,Student,projects,student,data science,ai ml,b'$2b$12$l6Mpst4je9QqtCYtKjaqfeLlqxSCEA2F3VYfadyyO8EZdi5oN2u6W',2.0
57,652fc23681928f436b3ac13e,,eshaan,eshaanjoshi123@gmail.com,Student,projects,student,app development,"flutter, swift, firebase ",b'$2b$12$tpezdToIebh3r5l8lAki8u82iKjcRivF9b4bJmwLfMCJFYMobZeU6',5.0
58,652fc3c081928f436b3ac13f,,varun vashisht,varun123@gmail.com,Student,"app development, data science",student,"flutter, AI/ML","flutter, swift, kotlin",b'$2b$12$cFrUAiB.rR7x7cVWK9uHMeFYlo9DCE.4E5ZwYvk4Y01N4rgR/VjsW',2.0
59,6576c887ed2b6ed168e5f732,,testuser123,testuser123@gmail.com,Student,"research, projects","faculty, student",nlp,nlp,b'$2b$12$nZ6gCsKWRzJVIm.nm2Xr9uyAwMxL9AOBvCYHS1yCjXHeYSgqGs8fK',2.0
60,657740b9d7641e384d6666aa,,Varun,varunvashisht2002@gmail.com,Student,Sex,Haris,ML,Nothing,b'$2b$12$yx802w//kRlkVok55mhTFehIHrQQPoi4UWUgjU6QT77jYxnSjeCg2',1.0
61,65774140d7641e384d6666ab,,escape,,Student,escape,escape,escape,escape,b'$2b$12$Hhy7/1tbhHnSqX41g6D0V.B5lHFXC7sGCBqCqFuQlj4o8MS./Rz2u',3.0
62,657741656c95b6da0a839f67,,papichulo,eshu@poop.com,Student,learn cloud engineering,other teachers,"computers, dsa, ml, dl, nlp","ml, dl, app dev",b'$2b$12$sSQD2m3Dr8glNjUC99qoPOs7u1u2VjLxU/K3OBtTgan0uQEPR8YXy',2.0
63,6577461f6c95b6da0a839f68,,eshaan,1,Student,learn cloud engineering,other students,"ml, dl, nlp","ml, dl, app dev",b'$2b$12$yuvP7VWLrXUlMx84ZV1.G.0Dx8YyewOEM9gcLvIvw5Nmlxue1rpTi',1.0
64,6577492dc5995d5346fbcddc,,Varun,varun@gmail.com,Student,projects,student,data science,"AI,ML,DL",b'$2b$12$xOGn.6fsaZOO0mwnynNEnObxUuyZ/B1yhgF2OX9RBUAA893h3cnxS',2.0
65,657c78f6164398c08e411373,,checkuser,checkuser@gmail.com,Student,research,student,NLP,"data science, AI, ML",b'$2b$12$wh8E1GxMbOEJuMAzR2/lj.KT6b4uV6RotG2Am44AhzulyxuV15la.',1.0
66,657c7937164398c08e411374,,checkuser2,checkuser2@gmail.com,Student,research,student,"AI,ML,NLP","Flask, data science",b'$2b$12$E1EqteZj7iEnR7iJwY.9qebJ0CE.pq9QhtXI6TXzXwMiaBS9xtdzK',3.0
67,657e8155164398c08e411376,,shivram,shivram@gmail.com,Student,research,student,NLP,"AI ML, DATA SCIENCE",b'$2b$12$x0ZrBhsv0QGw7PFVv9lrK.oio/.zF.ejTnytOVECr9L9rmxcBegYC',2.0
68,6580844c16446495f50fff65,,apicheck,apicheck@gmail.com,Student,student,,pjt,flask,b'$2b$12$r.z4He.9.mYRysC2cluQ9eCyntSAfAJEa7Jl7D5JcEAXwgXsOjFPu',2.0
69,659620c37774c1855c56e413,,mihir,mihir@gmail.com,Student,projects,student,web development,"HTML,CSS,JS, ML",b'$2b$12$cC8tacliUjvMF/8g9VNIDe79.zpmAtbU9IbitvsHBhDot9f3LtV6a',2.0
70,659620fe7774c1855c56e414,,mihir,mihir2@gmail.com,Student,projects,student,Web development,"HTML,ReactJS, DL",b'$2b$12$8ka0dgZ7pmFMw.zRl/dXYuae85bMzitE.oHk5EnPtWDfBzfYls8c6',3.0
71,65a9fbdcd1e910ff20ce8002,,anushka1,anushka1@gmail.com,Student,research,faculty,"ml,dl,mv","dsa,frontend,communication",b'$2b$12$cf.InlVdVwQ4R9FXDZlP.Ofs7tccP129SWe4JQ76nGEyhP/4kQVdO',1.0
72,65a9fc3cd1e910ff20ce8003,,anushka2,anushka2@gmail.com,Student,research,faculty,"ml, ai, app dev","dsa,frontend",b'$2b$12$N6/VHWtEQm7KtVccStsoB.0S4JxvpFpsQCa.4qI7p3qHQs26X7wiG',3.0
73,65a9fd3ed1e910ff20ce8004,,anushka3,anushka3@gmail.com,Faculty,research,student,"ml,dl","dsa,frontend",b'$2b$12$T9IvHtwOLMwuzN0pHYyqvuPQ7joF.wazlzH8zFb8D7LNnrU2mKdtK',9.0
74,6665b5055a7b4fcac54c4434,,testuser,testuser,Student,research,faculty,NLP,"python, NLTK, Spacy",b'$2b$12$xvTht6TN1hDEjaeEalipGecOs4J3DFpJOZoe3p8gh6oV0QZdG3RI6',4.0
75,6665b5475a7b4fcac54c4435,,testuser2,testuser2,Faculty,research,student,NLP,"spacy, nltk, python",b'$2b$12$8cw6plJ7G4WA/iJv6tiLYeqnpjGnSo1jGpElcP1b9nbR.cmqPxkyq',3.0
76,6665b5975a7b4fcac54c4436,,testuser3,testuser3@gmail.com,Student,research,faculty,Natural language processing,"Spacy, python",b'$2b$12$GQDjviwVoZ2cfqpBIjMUoet0w3GCd4QrYEUzOTunep/KG/sBuLruG',1.0
0,,,Peter Medina,peter.medina@example.com,Student,Research,Researcher,Digital Humanities,"I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across, Design, problem solving, extensive research , Design, problem solving, extensive research , Design, problem solving, extensive research ",,2.0
1,,,Carl Alexander,carl.alexander@research.org,Faculty,Projects,Researcher,Multimedia Computing,"Quantum Computing, Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail., Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail., Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail.",,12.0
2,,,Christina Suarez,christina.suarez@research.org,Faculty,Projects,Researcher,"ml,dl,mv","Software Architecture, English poetry, prose, fiction, English poetry, prose, fiction, English poetry, prose, fiction",,1.0
3,,,Kristine Bell,kristine.bell@example.com,Student,Research,Student,Mobile Development,"Data Warehousing, Sports analysis\nBasic Genomics knowledge, Sports analysis\nBasic Genomics knowledge, Sports analysis\nBasic Genomics knowledge",,2.0
4,,,Kelly Garner,kelly.garner@university.edu,Researcher,Study groups,Student,Complex Systems,"Data Analysis, Structural analysis., Structural analysis., Structural analysis.",,5.0
5,,,Lawrence Nelson,lawrence.nelson@example.com,Researcher,Research,Faculty,Cybersecurity,"Excel, IoT, IoT, IoT",,7.0
6,,,Timothy Mcdaniel,timothy.mcdaniel@research.org,Researcher,Research,Student,"AWS , UI/UX DESIGN","Game Development, Databases, Databases, Databases",,5.0
7,,,Dr. Michael Edwards,dr..edwards@research.org,Student,Study groups,Faculty,"AI,ML,CLOUD COMPUTING","Robotics, Big Data, Big Data, Big Data",,3.0
8,,,Dustin Evans,dustin.evans@example.com,Student,Projects,Student,Data management,"AI,ML,DL, Game Development, Game Development, Game Development",,1.0
9,,,Sara Jones,sara.jones@example.com,Student,Study groups,Researcher,ar/vr,"Machine Learning, python, machine learning\n, python, machine learning\n, python, machine learning\n",,2.0
10,,,Albert Craig,albert.craig@example.com,Student,Projects,Faculty,Blockchain,"Health Informatics, Robotics, Robotics, Robotics",,2.0
11,,,Kristina Thomas,kristina.thomas@research.org,Researcher,Research,Researcher,UI/UX Design,"ML,DL, Python, C , C++, Java, Statistics, Vectors, Software Engineering, Software Engineering, Software Engineering",,6.0
12,,,Christopher Mason,christopher.mason@example.com,Student,Projects,Student,Pattern Recognition,"Game Development, Embedded Systems, Embedded Systems, Embedded Systems",,1.0
13,,,Michael Singh,michael.singh@university.edu,Researcher,Study groups,Researcher,Data Science (Sports Analytics),"Spacy, python, Data Analysis, Data Analysis, Data Analysis",,5.0
14,,,Paul Wiley,paul.wiley@research.org,Faculty,Projects,Researcher,Agile Methodologies,"SQL, Machine learning,neural networks, enterpreneurship, communication , Machine learning,neural networks, enterpreneurship, communication , Machine learning,neural networks, enterpreneurship, communication ",,12.0
15,,,Joshua Hughes,joshua.hughes@example.com,Faculty,Projects,Faculty,Data Science,"MERN Stack, Spring boot, Java, Cloud computing, Cloud computing, Cloud computing",,13.0
16,,,Mark Brown,mark.brown@example.com,Faculty,Study groups,Faculty,Parallel Computing,"HTML,ReactJS, DL, Cybersecurity, Cybersecurity, Cybersecurity",,13.0
17,,,Patricia Mueller,patricia.mueller@example.com,Student,Projects,Faculty,Cognitive Science,"Skilled in both, AI ML, DATA SCIENCE, AI ML, DATA SCIENCE, AI ML, DATA SCIENCE",,1.0
18,,,Brandon Reeves,brandon.reeves@research.org,Student,Projects,Faculty,Strategic Management,"Excel, Cognitive Science, Cognitive Science, Cognitive Science",,1.0
19,,,John Smith,john.smith@university.edu,Researcher,Research,Faculty,Quantum Computing,"IoT, Operating Systems, Operating Systems, Operating Systems",,3.0
20,,,Janet Sharp,janet.sharp@university.edu,Researcher,Research,Researcher,Digital system design,"Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL\nAIML: ML, DL, CNN, RNN, LSTM\nProgramming: Java, C++, Python, Theoretical Computer Science, Theoretical Computer Science, Theoretical Computer Science",,7.0
21,,,Jade Carter,jade.carter@example.com,Student,Projects,Researcher,Computer Vision,"Artificial intelligence, research. And the basics as a computer science student, dsa,frontend, dsa,frontend, dsa,frontend",,1.0
22,,,Mr. Jeffrey Wells PhD,mr..phd@university.edu,Student,Research,Faculty,Distributed Systems,"Machine Learning, Databases, Databases, Databases",,2.0
23,,,Maurice Hull,maurice.hull@university.edu,Student,Research,Faculty,Game Development,"Data Analytics , AI , Tensorflow, Social Network Analysis, Social Network Analysis, Social Network Analysis",,1.0
24,,,Seth Harrison,seth.harrison@research.org,Faculty,Study groups,Faculty,Game Development,"Flask, data science, python, NLTK, Spacy, python, NLTK, Spacy, python, NLTK, Spacy",,17.0
25,,,Emily Fisher,emily.fisher@university.edu,Researcher,Projects,Researcher,Embedded Systems,"IoT, Sports analysis\nBasic Genomics knowledge, Sports analysis\nBasic Genomics knowledge, Sports analysis\nBasic Genomics knowledge",,6.0
26,,,Stephen Long,stephen.long@university.edu,Student,Research,Student,Virtual Reality,"Web development\nBioinformatics tools\nMarketing strategies\nGame design, Big Data, Big Data, Big Data",,1.0
27,,,Anthony Sullivan,anthony.sullivan@university.edu,Faculty,Projects,Researcher,Quantum Computing,"Java , python,c,c++,html,css, Data Analysis, Data Analysis, Data Analysis",,25.0
28,,,Thomas Buck,thomas.buck@university.edu,Faculty,Projects,Student,Bioinformatics,"Structural analysis., AI,ML,DL, AI,ML,DL, AI,ML,DL",,13.0
29,,,Jonathan Scott,jonathan.scott@example.com,Student,Study groups,Researcher,"Anything about computer science, exploring rn","Database Management, Data Analytics , AI , Tensorflow, Data Analytics , AI , Tensorflow, Data Analytics , AI , Tensorflow",,2.0
30,,,David Torres,david.torres@research.org,Student,Research,Student,Full Stack Development,"ML / Data analysis, Embedded Systems, Embedded Systems, Embedded Systems",,2.0
31,,,Mr. Andrew Burns MD,mr..md@example.com,Faculty,Projects,Faculty,MATLAB,"ETL Processes, HTML, HTML, HTML",,24.0
32,,,Lisa Sanchez,lisa.sanchez@university.edu,Researcher,Projects,Researcher,Data Science,"UI, JavaScript, JavaScript, JavaScript",,6.0
33,,,Laura Lopez,laura.lopez@research.org,Student,Study groups,Student,AIML/UI design,"Cybersecurity, Nada, Nada, Nada",,3.0
34,,,David Holt,david.holt@example.com,Faculty,Research,Student,"flutter, AI/ML","Agile Methodologies, I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across, I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across, I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across",,21.0
35,,,Emily Fisher,emily.fisher@university.edu,Researcher,Projects,Faculty,Functional safety,"python, NLTK, Spacy, Android Developer, Android Developer, Android Developer",,5.0
36,,,Elizabeth Murphy,elizabeth.murphy@example.com,Faculty,Projects,Student,Databases,"Distributed Systems, Game Development, Game Development, Game Development",,11.0
37,,,Briana Acevedo,briana.acevedo@research.org,Student,Study groups,Researcher,Virtual Reality,"Bioinformatics, Sustainable Computing, Sustainable Computing, Sustainable Computing",,2.0
38,,,Dustin Evans,dustin.evans@example.com,Faculty,Study groups,Student,"ml,dl,mv","Python, Distributed Systems, Distributed Systems, Distributed Systems",,9.0
39,,,Jade Carter,jade.carter@example.com,Faculty,Projects,Researcher,Anything,"CSS, Embedded Systems, Embedded Systems, Embedded Systems",,12.0
40,,,Tara Smith,tara.smith@research.org,Researcher,Projects,Faculty,Game,"Data Analysis, flutter, swift, kotlin, flutter, swift, kotlin, flutter, swift, kotlin",,4.0
41,,,Victoria Robinson,victoria.robinson@example.com,Faculty,Study groups,Student,data science,"Excel, I am smart 😎, I am smart 😎, I am smart 😎",,11.0
42,,,Brandi Floyd,brandi.floyd@research.org,Student,Study groups,Student,"Artificial intelligence, machine learning ","dsa,frontend, Software Testing, Software Testing, Software Testing",,3.0
43,,,Nancy Harrington,nancy.harrington@example.com,Student,Study groups,Researcher,Natural Language Processing,"Cybersecurity, Machine learning,neural networks, enterpreneurship, communication , Machine learning,neural networks, enterpreneurship, communication , Machine learning,neural networks, enterpreneurship, communication ",,4.0
44,,,Timothy Hubbard,timothy.hubbard@example.com,Student,Study groups,Researcher,Theoretical Computer Science,"dsa,frontend, Python programming , data analysis , Python programming , data analysis , Python programming , data analysis ",,2.0
45,,,Carlos Carter,carlos.carter@university.edu,Student,Research,Researcher,Software Architecture,"Cyber security,  coding - python , I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across, I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across, I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across",,2.0
46,,,Elizabeth Murphy,elizabeth.murphy@research.org,Researcher,Study groups,Student,Human-Computer Interaction,"Information Retrieval, Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL\nAIML: ML, DL, CNN, RNN, LSTM\nProgramming: Java, C++, Python, Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL\nAIML: ML, DL, CNN, RNN, LSTM\nProgramming: Java, C++, Python, Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL\nAIML: ML, DL, CNN, RNN, LSTM\nProgramming: Java, C++, Python",,4.0
47,,,Brittney Gibson,brittney.gibson@example.com,Student,Projects,Student,law,"Blockchain, Android Developer, Android Developer, Android Developer",,1.0
48,,,John Moore,john.moore@research.org,Student,Research,Faculty,data science,"Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail., Quantum Computing, Quantum Computing, Quantum Computing",,2.0
